利用日付,利用時間,利用曜日,利用者ID,利用者名,身分,部局,連携用コード,学年,利用装置,判定結果
2016/06/01,08:00:03,水曜日,,,学生,法学部,,4,入館ゲート1,許可
2016/06/01,08:00:13,水曜日,,,学生,文学部,,2,入館ゲート1,許可
2016/06/01,08:00:24,水曜日,,,学生,法学部,,4,入館ゲート2,許可
2016/06/01,08:00:29,水曜日,,,学生,理学部,入館可,2,入館ゲート1,許可
2016/06/01,08:00:32,水曜日,,,学生,教育学部,,1,入館ゲート1,許可
2016/06/01,08:00:33,水曜日,,,学生,農学部,,1,入館ゲート2,許可
2016/06/01,08:01:35,水曜日,,,学生,文学部,,1,入館ゲート2,許可
2016/06/01,08:03:29,水曜日,,,学生,法学部,,4,入館ゲート1,許可
2016/06/01,08:03:36,水曜日,,,学生,経済学部,,2,入館ゲート1,許可
2016/06/01,08:03:58,水曜日,,,学生,法学部,入館可,4,入館ゲート2,許可
2016/06/01,08:04:40,水曜日,,,学生,法学部,,2,入館ゲート2,許可
2016/06/01,08:04:53,水曜日,,,学生,経済学部,,3,入館ゲート1,許可
2016/06/01,08:05:03,水曜日,,,学生,工学部,,3,入館ゲート1,許可
2016/06/01,08:05:42,水曜日,,,学生,工学部,,4,入館ゲート1,許可
2016/06/01,08:05:43,水曜日,,,学生,文学部,,2,入館ゲート2,許可
2016/06/01,08:05:44,水曜日,,,学生,工学部,,3,入館ゲート1,許可
2016/06/01,08:05:50,水曜日,,,学生,法学部,,1,入館ゲート1,許可
2016/06/01,08:05:57,水曜日,,,学生,工学部,,2,入館ゲート2,許可
2016/06/01,08:06:05,水曜日,,,学生,経済学部,,3,入館ゲート1,許可
2016/06/01,08:07:56,水曜日,,,学生,理学部,,1,入館ゲート2,許可
2016/06/01,08:07:58,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,08:08:25,水曜日,,,学生,文学部,入館可,3,入館ゲート1,許可
2016/06/01,08:09:23,水曜日,,,学生,文学部,,4,入館ゲート1,許可
2016/06/01,08:10:21,水曜日,,,学生,教育学部,,2,入館ゲート1,許可
2016/06/01,08:11:11,水曜日,,,学生,理学部,,3,入館ゲート1,許可
2016/06/01,08:11:18,水曜日,,,学生,文学部,,3,入館ゲート2,許可
2016/06/01,08:11:50,水曜日,,,学生,法学部,,1,入館ゲート2,許可
2016/06/01,08:13:45,水曜日,,,学生,文学部,,1,入館ゲート2,許可
2016/06/01,08:14:44,水曜日,,,学生,理学部,,3,入館ゲート1,許可
2016/06/01,08:15:01,水曜日,,,学生,文学部,入館可,4,入館ゲート1,許可
2016/06/01,08:15:09,水曜日,,,学生,文学部,,3,入館ゲート1,許可
2016/06/01,08:16:02,水曜日,,,学生,文学部,,3,入館ゲート1,許可
2016/06/01,08:17:01,水曜日,,,学生,法学部,入館可,1,入館ゲート1,許可
2016/06/01,08:18:06,水曜日,,,学生,理学部,,3,入館ゲート1,許可
2016/06/01,08:18:27,水曜日,,,学生,法学部,,3,入館ゲート1,許可
2016/06/01,08:19:03,水曜日,,,学生,経済学部,,4,入館ゲート1,許可
2016/06/01,08:20:43,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,08:22:06,水曜日,,,大学院生,情報科学,,M2,入館ゲート2,許可
2016/06/01,08:22:26,水曜日,,,学生,法学部,,1,入館ゲート1,許可
2016/06/01,08:22:30,水曜日,,,学生,経済学部,,2,入館ゲート2,許可
2016/06/01,08:24:01,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,08:24:06,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,08:24:33,水曜日,,,学生,農学部,,1,入館ゲート1,許可
2016/06/01,08:24:35,水曜日,,,学生,文学部,,1,入館ゲート2,許可
2016/06/01,08:25:55,水曜日,,,学生,理学部,,3,入館ゲート1,許可
2016/06/01,08:26:31,水曜日,,,大学院生,経済学部,,D3,入館ゲート1,許可
2016/06/01,08:26:51,水曜日,,,学生,農学部,,1,入館ゲート2,許可
2016/06/01,08:27:11,水曜日,,,学生,法学部,,4,入館ゲート1,許可
